;;;;;;;;;;;;;;vuelta;;;minutos;segundo;d+c;mil+micro;;;
vuelta 1;0;hex;e0;35;15;03;00;04;4c;1b;a9;00;40;00;01;00;aa;ab;aa;aa;4b;00;eb
;;binario;11100000;;0010101;00000011;00000000;00000100;01001100;00011011;10101001;00000000;01000000;00000000;;00000000;;;;;;00000000;11101011
;;;;;;;;;;;;;;;;;;;;;;;
vuelta 2;4,57;hex;e0;36;15;03;00;04;4c;1b;a9;00;40;00;02;00;00;04;57;88;87;00;eb
;;binario;11100000;;0010101;00000011;00000000;00000100;01001100;00011011;10101001;00000000;01000000;00000000;;00000000;00000000;;;;;00000000;11101011
;;;;;;;;;;;;;;;;;;;;;;;
vuelta 3;5,60;hex;e0;37;15;03;00;04;4c;1b;a9;00;40;00;03;00;00;05;64;60;6f;00;eb
;;binario;11100000;;0010101;00000011;00000000;00000100;01001100;00011011;10101001;00000000;01000000;00000000;;00000000;00000000;;;;;00000000;11101011
;;;;;;;;;;;;;;;;;;;;;;;
vuelta 4;5,05;hex;e0;38;15;03;00;04;4c;1b;a9;00;40;00;04;00;00;05;05;01;b3;00;eb
;;binario;11100000;;0010101;00000011;00000000;00000100;01001100;00011011;10101001;00000000;01000000;00000000;;00000000;00000000;;;;;00000000;11101011
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
;;;;;;;;;;;;;;vuelta;;;minutos;segundo;d+c;mil+micro;;;
vuelta 1;0;hex;e0;4e;15;03;00;04;4c;1b;a9;00;40;00;01;00;aa;ab;aa;aa;64;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
vuelta 2;11,06;hex;e0;4f;15;03;00;04;4c;1b;a9;00;40;00;02;00;00;11;06;00;d4;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
vuelta 3;18,88;hex;e0;50;15;03;00;04;4c;1b;a9;00;40;00;03;00;00;18;88;00;5f;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
vuelta 4;13,25;hex;e0;51;15;03;00;04;4c;1b;a9;00;40;00;04;00;00;13;25;02;fb;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;"""contador""";;;;;;arranca;;tiempo carrera;;vuelta;;;minutos;segundo;d+c;mil+micro;;;
go;;hex;e0;59;15;03;00;04;4c;3e;a1;00;06;00;00;00;00;00;00;00;a6;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;hex;e0;5f;15;03;00;04;4c;00;a2;00;00;00;00;00;00;00;00;00;69;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;hex;e0;60;15;03;00;04;4c;00;a3;00;00;00;00;00;00;00;00;00;6b;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
